Data,Demographic
Aggravated Assault,Aggravated-Assault
All Other Offenses (Except Traffic),All-Other-Offenses
Arson,Arson
Burglary,Burglary
Curfew and Loitering Law Violations,Curfew
Disorderly Conduct,Disorderly-Conduct
Drug Abuse Violations - Grand Total,Drug-Grand-Total
,Drug-Sales-Marijuana
,Drug-Sales-Opium
,Drug-Sales-Other
,Drug-Sales-Subtotal
,Drug-Sales-Synthetic
Drunkenness,Drunkenness
Driving Under the Influence,Dui
Embezzlement,Embezzlement
Forgery and Counterfeiting,Forgery
Fraud,Fraud
,Gambling-All-Other
Gambling - Total,Gambling-Total
Larceny - Theft,Larceny
Liquor Laws,Liqour-Laws
Motor Vehicle Theft,Motor-Vehcile-Theft
Murder and Nonnegligent Manslaughter,Murder
Offenses Against the Family and Children,Offense-Against-Family
Prostitution and Commercialized Vice,Prostitution
Rape,Rape
Robbery,Robbery
,Runaway
"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Sex-Offenses
Simple Assault,Simple-Assault
Suspicion,Suspicion
Vagrancy,Vagrancy
Vandalism,Vandalism
"Weapons: Carrying, Possessing, Etc.",Weapons
,Gambling-Numbers
,Gambling-Bookmaking
,Prostitution-Prostitution
,Human-Trafficking-Commerical
,Prostitution-Assisting
,Prostitution-Purchasing
Human Trafficking - Involuntary Servitude,Human-Trafficking-Servitude
Human Trafficking - Commercial Sex Acts,
Manslaughter by Negligence,
"Stolen Property: Buying, Receiving, Possessing",
